id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
1817,Phone Booth,"Crime,Mystery,Thriller",en,"A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding.",20.733,2003-04-04,6.8,3022
339994,The Good Neighbor,"Drama,Crime,Thriller",en,Two high school filmmakers decide to create the illusion of a haunting on an unsuspecting neighbor.,13.673,2016-09-16,6.3,367
665251,Altered Carbon: Resleeved,"Animation,Science Fiction",ja,"On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC.",64.547,2020-03-19,6.5,212
324857,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction",en,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",118.785,2018-12-06,8.4,11529
28597,Problem Child 2,Comedy,en,"Junior and his father, Ben, move from Cold River to Mortville. Junior becomes threatened by Ben's desire to date again and find a new mother for Junior, and sabotages each of his dates.",18.946,1991-07-03,5.8,486
196,Back to the Future Part III,"Adventure,Comedy,Science Fiction",en,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",25.65,1990-05-25,7.5,8791
10012,Cursed,"Horror,Comedy",en,"In Los Angeles, siblings Ellie and Jimmy come across an accident on Mulholland Drive. As they try to help the woman caught in the wreckage, a ferocious creature attacks them, devouring the woman and scratching the terrified siblings. They slowly discover that the creature was a werewolf and that they have fallen victim to a deadly curse.",63.291,2005-02-25,5.5,565
92321,Hotarubi no Mori e,"Romance,Animation,Fantasy",ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.6,2011-09-17,8.4,810
541660,Loro,Drama,it,"Internationally released Director's Cut of ""Loro 1"" and ""Loro 2"", which were released separately as two movies in Italy. The film talks about the group of businessmen and politicians – the Loro (Them) from the title – who live and act near to media tycoon and politician Silvio Berlusconi in the years between 2006 and 2009.",7.523,2018-09-13,6.7,226
12186,Defending Your Life,"Comedy,Fantasy,Romance",en,"Is there love after death? After he dies suddenly, the hapless advertising executive Daniel Miller finds himself in Judgment City, a gleaming way station where the newly deceased must prove they lived a life of sufficient courage to advance in their journey through the universe. As the self-doubting Daniel struggles to make his case, a budding relationship with the uninhibited Julia offers him a chance to finally feel alive.",7.709,1991-03-22,7.0,200
19120,Juliet of the Spirits,"Comedy,Drama,Fantasy",it,"Middle-aged Giulietta grows suspicious of her husband, Giorgio, when his behavior grows increasingly questionable. One night when Giorgio initiates a seance amongst his friends, Giulietta gets in touch with spirits and learns more about herself and her painful past. Slightly skeptical, but intrigued, she visits a mystic who gives her more information -- and nudges her toward the realization that her husband is indeed a philanderer.",6.707,1965-10-22,7.4,229
1878,Fear and Loathing in Las Vegas,"Adventure,Drama,Comedy",en,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",16.68,1998-05-22,7.2,3813
10973,Creature from the Black Lagoon,"Adventure,Horror,Science Fiction",en,"When scientists exploring the Amazon River stumble on a “missing link” connecting humans and fish, they plan to capture it for later study. But the Creature has plans of his own, and has set his sights on the lead scientist's beautiful fiancée, Kay.",12.693,1954-03-05,6.9,561
395,AVP: Alien vs. Predator,"Adventure,Science Fiction,Action,Horror",en,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",40.145,2004-08-12,5.9,3540
529485,The Way Back,Drama,en,"A former basketball all-star, who has lost his wife and family foundation in a struggle with addiction, attempts to regain his soul and salvation by becoming the coach of a disparate ethnically mixed high school basketball team at his alma mater.",19.184,2020-03-05,6.6,829
340382,Attack on Titan II: End of the World,"Horror,Science Fiction,Action,Fantasy",ja,"Eren leaves to restore a break in the wall destroyed by a Titan. He comes under attack by the Titans and is cornered. Shikishima comes to his aid. The titans never stops attacking.  Eren is now injured and tries to protect Armin, but is swallowed by a titan. A Titan with black hair appears and begins to expel the other titans.",70.929,2015-09-01,5.9,225
172106,Jappeloup,Drama,fr,"A true sports story that utterly defies the odds, Duguay’s film captures the wild ups and downs of the Olympics-bound career of legendary equine star Jappeloup and his troubled rider, locked in a tense relationship with his horseman father and forever uncertain of his own skills as an equestrian",5.16,2013-03-13,7.1,341
605804,The Wretched,"Horror,Mystery,Thriller",en,"A rebellious teenage boy, struggling with his parent's imminent divorce, encounters a terrifying evil after his next-door neighbor becomes possessed by an ancient witch that feasts on children.",11.89,2020-03-09,6.0,428
12259,Sholay,Action,hi,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",8.075,1975-08-15,7.1,206
18238,Lesbian Vampire Killers,"Horror,Comedy",en,"With their women having been enslaved by a pack of lesbian vampires, the remaining menfolk of a rural town send two hapless young lads out onto the moors as a sacrifice.",13.467,2009-03-16,5.2,303
4538,The Darjeeling Limited,"Adventure,Drama,Comedy",en,"Three American brothers who have not spoken to each other in a year set off on a train voyage across India with a plan to find themselves and bond with each other -- to become brothers again like they used to be. Their ""spiritual quest"", however, veers rapidly off-course (due to events involving over-the-counter pain killers, Indian cough syrup, and pepper spray).",11.56,2007-09-07,7.2,2853
11093,House of Sand and Fog,Drama,en,"Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma.",8.237,2003-12-19,7.2,580
660000,Lost Illusions,"Drama,Romance",fr,"Taking place between the years 1837 and 1843, Balzac’s classic novel focuses on the young poet Lucien de Rubempré, who leaves Angouleme for Paris in the pursuit of becoming an author.",6.741,2021-10-20,7.5,244
346681,Wilson,"Comedy,Drama",en,"Middle-aged and divorced, Wilson finds himself lonely, smug, and obsessed with his past.",8.269,2017-03-24,6.0,309
10295,Miami Supercops,"Action,Comedy",it,"In 1978, $20 million was stolen from a Detroit bank. One of the robbers was caught, one was found dead, and the third disappeared. The money was never found. Seven years later, the robber who was caught was released from jail. He immediately went to Miami, only to be found dead the next day. Now FBI agents Doug Bennet and Steve Forest have been called in to investigate the case while posing as Miami police officers. Somewhere in Miami the third robber is hiding with his $20 million, and he has a seven-year head start on the authorities.",10.276,1985-12-12,6.4,333
24188,Il Sorpasso,"Drama,Comedy",it,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",7.789,1962-12-05,8.3,575
13930,For the Birds,"Animation,Family,Comedy",en,"One by one, a flock of small birds perches on a telephone wire. Sitting close together has problems enough, and then comes along a large dopey bird that tries to join them. The birds of a feather can't help but make fun of him - and their clique mentality proves embarrassing in the end.",8.75,2000-11-02,7.5,976
7501,Knockaround Guys,"Crime,Thriller",en,Four sons of well-known New York mobsters must retrieve a bag of cash from a small Montana town ruled by a corrupt sheriff.,20.807,2001-09-07,5.9,261
473033,Uncut Gems,"Drama,Thriller,Crime",en,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",28.281,2019-08-30,7.1,3688
57089,Hoodwinked Too! Hood VS. Evil,"Comedy,Animation,Family",en,"Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.",29.014,2011-04-29,5.1,451
415842,American Assassin,"Action,Thriller",en,"Following the murder of his fiancée, Mitch Rapp trains under the instruction of Cold War veteran Stan Hurley. The pair then is enlisted to investigate a wave of apparently random attacks on military and civilian targets.",38.518,2017-09-14,6.4,2521
1443,The Virgin Suicides,"Drama,Romance",en,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.",17.881,1999-12-31,7.1,2512
9389,Renaissance,"Action,Animation,Science Fiction",fr,"To find Ilona and unlock the secrets of her disappearance, Karas must plunge deep into the parallel worlds of corporate espionage, organized crime and genetic research - where the truth imprisons whoever finds it first and miracles can be bought but at a great price.",7.553,2006-03-16,6.6,201
5910,Fireworks,"Crime,Drama",ja,"Detective Nishi is relieved from a stakeout to visit his sick wife in hospital. He is informed that she is terminally ill, and is advised to take her home. During his visit, a suspect shoots one detective dead and leaves Nishi's partner, Horibe, paralyzed. Nishi leaves the police force to spend time with his wife at home, and must find a way to pay off his debts to the yakuza.",11.637,1997-11-05,7.7,486
10858,Nixon,"Drama,History",en,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,6.464,1995-12-22,6.9,266
15906,Barbie and the Magic of Pegasus 3-D,"Animation,Family,Romance",en,"Princess Annika (Barbie) escapes the clutches of the evil wizard, explores the wonders of Cloud Kingdom, and teams up with a magnificent winged horse - who turns out to be her sister, Princess Brietta - to defeat the wizard and break the spells that imprisoned her family.",57.24,2005-10-04,7.1,568
209276,Starred Up,Drama,en,"19-year-old Eric, arrogant and ultra-violent, is prematurely transferred to the same adult prison facility as his estranged father. As his explosive temper quickly finds him enemies in both prison authorities and fellow inmates — and his already volatile relationship with his father is pushed past breaking point — Eric is approached by a volunteer psychotherapist, who runs an anger management group for prisoners. Torn between gang politics, prison corruption, and a glimmer of something better, Eric finds himself in a fight for his own life, unsure if his own father is there to protect him or join in punishing him.",10.195,2014-03-21,7.1,798
192145,Third Person,"Drama,Romance",en,"An acclaimed novelist struggles to write an analysis of love in one of three stories, each set in a different city, that detail the beginning, middle and end of a relationship.",9.568,2013-09-09,5.9,509
347201,Boruto: Naruto the Movie,"Animation,Action,Comedy",ja,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!",258.002,2015-08-07,7.6,1055
279641,Whiskey Tango Foxtrot,"Comedy,Drama,War",en,"In 2002, cable news producer Kim Barker decides to shake up her routine by taking a daring new assignment in Kabul, Afghanistan. Dislodged from her comfortable American lifestyle, Barker finds herself in the middle of an out-of-control war zone. Luckily, she meets Tanya Vanderpoel, a fellow journalist who takes the shell-shocked reporter under her wing. Amid the militants, warlords and nighttime partying, Barker discovers the key to becoming a successful correspondent.",6.769,2016-03-04,6.3,800
550385,Christmas with a View,"Romance,Family,TV Movie",en,"This Christmas, Thunder Mountain Ski Resort is abuzz when celebrity chef Shane Roarke is named the new head chef. Clara Garrison isn't as excited and is instead focused on getting resettled after her failed attempt at opening a restaurant in the city. With their paths constantly crossing, will their shared passion for cooking bring them together or will secrets keep them apart?",9.326,2018-11-01,5.8,265
11663,The Commitments,"Comedy,Drama,Music",en,"Jimmy Rabbitte, just a tick out of school, gets a brilliant idea: to put a soul band together in Barrytown, his slum home in north Dublin. First he needs musicians and singers: things slowly start to click when he finds three fine-voiced females virtually in his back yard, a lead singer (Deco) at a wedding, and, responding to his ad, an aging trumpet player, Joey ""The Lips"" Fagan.",10.701,1991-08-14,7.3,424
9849,My Favorite Martian,"Comedy,Drama,Family,Science Fiction",en,"News producer, Tim O'Hara gets himself fired for unwillingly compromising his bosses' daughter during a live transmission. A little later, he witnesses the crashing of a small Martian spacecraft, realizing his one-time chance of delivering a story that will rock the earth. Since Tim took the original but scaled-down spaceship with him, the Martian follows him to retrieve it.",12.449,1999-02-11,5.6,248
433471,Lou,"Family,Fantasy,Animation",en,A Pixar short about a lost-and-found box and the unseen monster within.,7.143,2017-06-16,7.6,305
339927,Kevin Hart: What Now?,Comedy,en,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",6.75,2016-10-14,6.5,218
437109,The Villainess,"Action,Crime,Drama,Thriller",ko,A young girl is raised as a killer in the Yanbian province of China. She hides her identity and travels to South Korea where she hopes to lead a quiet life but becomes involved with two mysterious men.,33.484,2017-06-08,6.9,522
10818,Water Lilies,"Drama,Romance",fr,"Set during a sultry summer in a French suburb, Marie is desperate to join the local pool's synchronized swimming team, but is her interest solely for the sake of sport or for a chance to get close to Floriane, the bad girl of the team? Sciamma, and the two leads, capture the uncertainty of teenage sexuality with a sympathetic eye in this delicate drama of the angst of coming-of-age.",12.907,2007-05-17,6.4,292
233063,Suck Me Shakespeer,Comedy,de,A comedy that follows an ex-con who lands a position at a school that sits over the spot where money from one of his earlier robberies was stashed.,12.798,2013-11-07,7.0,1457
14506,The Adventures of Baron Munchausen,"Action,Adventure,Comedy,Fantasy,Family",en,An account of Baron Munchausen's supposed travels and fantastical experiences with his band of misfits.,10.494,1988-12-07,7.0,669
485166,Amanda,Drama,fr,"David, who gets by doing odd jobs, meets Léna, who has just moved up to Paris, and falls in love. But soon after, his life is brutally interrupted by the sudden death of his sister. Beyond the shock, and the pain, David now finds himself alone with his young niece Amanda to care for.",8.204,2018-08-31,7.1,221
345914,The House,Comedy,en,"When Scott and Kate Johansen’s daughter gets into the college of her dreams it’s cause for celebration. That is, until Scott and Kate learn that the scholarship they were counting on didn’t come through, and they’re now on the hook for tuition they can’t begin to afford. With the help of their friend and neighbor Frank also in need of a major payday they decide to open an illegal casino in his suburban house, risking everything together on a Vegas-style bacchanal where money flows, inhibitions are checked at the door, and all bets are off.",8.815,2017-06-29,5.6,772
1636,Bedazzled,"Fantasy,Comedy,Romance",en,"Elliot Richardson, a suicidal techno geek, is given seven wishes to turn his life around when he meets a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil puts her own little twist on each of his fantasies.",19.811,2000-10-19,6.0,1481
369894,Wakefield,Drama,en,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,10.574,2017-05-19,6.1,336
1642,The Net,"Crime,Drama,Mystery,Thriller,Action",en,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.",14.149,1995-07-28,6.0,1051
10878,Saving Silverman,"Comedy,Crime,Romance",en,"A pair of buddies conspire to save their best friend from marrying the wrong woman, a cold-hearted beauty who snatches him from them and breaks up their Neil Diamond cover band.",9.701,2001-02-09,5.5,420
26371,Maurice,"Drama,Romance",en,"After his lover rejects him, a young man trapped by the oppressiveness of Edwardian society tries to come to terms with and accept his sexuality.",12.599,1987-08-21,7.6,368
12502,Silkwood,"Drama,Thriller",en,"The story of Karen Silkwood, a metallurgy worker at a plutonium processing plant who was purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing blatant worker safety violations at the plant.",6.239,1983-12-14,7.0,249
171372,Frank,"Comedy,Drama,Mystery",en,A young wannabe musician  who discovers he has bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank.,8.409,2014-05-02,6.9,1387
10438,Beethoven's 2nd,"Family,Comedy",en,"Beethoven is back -- and this time, he has a whole brood with him now that he's met his canine match, Missy, and fathered a family. The only problem is that Missy's owner, Regina, wants to sell the puppies and tear the clan apart. It's up to Beethoven and the Newton kids to save the day and keep everyone together.",14.425,1993-12-14,5.5,812
455236,Accident Man,"Action,Crime",en,"Mike Fallon, the Accident Man, is a stone cold killer.  When a loved one is murdered by his own crew, Fallon is forced to avenge the one person who actually meant something to him.",15.412,2018-02-06,6.0,334
21349,Anywhere but Here,"Drama,Comedy,Romance",en,"Single mother Adele August is bad with money, and even worse when it comes to making decisions. Her straight-laced daughter, Ann, is a successful high school student with Ivy League aspirations. When Adele decides to pack up and move the two of them from the Midwest to Beverly Hills, Calif., to pursue her dreams of Hollywood success, Ann grows frustrated with her mother's irresponsible and impulsive ways.",7.05,1999-11-12,6.1,221
98567,Chinese Zodiac,"Action,Adventure",cn,"Asian Hawk leads a mercenary team to recover several lost artifacts from the Old Summer Palace, the bronze heads of the 12 Chinese Zodiac animals which were sacked by the French and British armies from the imperial Summer Palace in Beijing in 1860. Assisted by a Chinese student & a Parisian lady, Hawk stops at nothing to accomplish the mission.",35.836,2012-12-20,6.1,659
16306,Fantastic Planet,"Animation,Science Fiction",fr,"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.",26.501,1973-12-01,7.7,679
